"customer_id","customer_name","email","signup_date","customer_segment","state","region_id"
1,Noah White,customer0001@example.com,2024-08-27,Small Business,AZ,4
2,Mason White,customer0002@example.com,2025-09-21,Consumer,PA,1
3,Ethan Anderson,customer0003@example.com,2023-04-06,Small Business,NY,1
4,Emma Wilson,customer0004@example.com,2024-08-31,Consumer,NJ,1
5,Zoe Clark,customer0005@example.com,2023-02-03,Small Business,OK,4
6,Leah Wilson,customer0006@example.com,2022-10-30,Consumer,TX,4
7,Zoe Wilson,customer0007@example.com,2022-12-27,Small Business,CT,1
8,Emma Harris,customer0008@example.com,2023-05-26,Corporate,TX,4
9,Mia Martin,customer0009@example.com,2025-09-29,Consumer,NV,4
10,Aria Martin,customer0010@example.com,2025-06-08,Small Business,UT,5
11,Ryan Martin,customer0011@example.com,2022-11-22,Small Business,OK,4
12,Lucas Wilson,customer0012@example.com,2025-07-29,Consumer,NV,4
13,Ethan Martinez,customer0013@example.com,2024-06-19,Consumer,NM,4
14,Lucas Thomas,customer0014@example.com,2023-10-17,Corporate,FL,2
15,Mia Wilson,customer0015@example.com,2024-02-24,Small Business,GA,2
16,Zoe Jackson,customer0016@example.com,2023-11-09,Consumer,MA,1
17,Noah Jackson,customer0017@example.com,2024-03-08,Corporate,CT,1
18,Owen Moore,customer0018@example.com,2024-09-03,Consumer,PA,1
19,Leah Jackson,customer0019@example.com,2025-01-07,Small Business,WI,3
20,Ethan Thompson,customer0020@example.com,2023-03-26,Consumer,CO,5
21,Leah Thomas,customer0021@example.com,2025-10-01,Small Business,MA,1
22,Ella Brown,customer0022@example.com,2025-06-28,Consumer,VA,2
23,Owen Patel,customer0023@example.com,2022-06-21,Consumer,WA,5
24,Liam Smith,customer0024@example.com,2023-06-17,Consumer,AZ,4
25,Aria Thomas,customer0025@example.com,2024-02-16,Consumer,OK,4
26,Olivia Thompson,customer0026@example.com,2022-02-09,Small Business,IL,3
27,Ethan Johnson,customer0027@example.com,2025-08-27,Consumer,IL,3
28,Noah Patel,customer0028@example.com,2025-06-26,Consumer,GA,2
29,Sophia Clark,customer0029@example.com,2023-03-23,Consumer,NM,4
30,Liam Lewis,customer0030@example.com,2025-05-28,Corporate,IL,3
31,Mason Garcia,customer0031@example.com,2025-03-31,Consumer,NC,2
32,Leah Moore,customer0032@example.com,2023-02-11,Consumer,WA,5
33,Mason Lewis,customer0033@example.com,2022-09-05,Small Business,CT,1
34,Nora Harris,customer0034@example.com,2024-05-27,Small Business,NJ,1
35,Aria Patel,customer0035@example.com,2024-05-10,Small Business,CA,5
36,Nora Martin,customer0036@example.com,2025-12-19,Consumer,AZ,4
37,Lucas Lewis,customer0037@example.com,2025-01-07,Small Business,CO,5
38,Owen Martinez,customer0038@example.com,2023-10-23,Small Business,TX,4
39,Ella Wilson,customer0039@example.com,2024-08-09,Consumer,MN,3
40,Ava Thompson,customer0040@example.com,2023-10-28,Consumer,OH,3
41,Lucas Thomas,customer0041@example.com,2023-07-27,Corporate,MI,3
42,Ava White,customer0042@example.com,2023-01-27,Consumer,CO,5
43,Ryan Wilson,customer0043@example.com,2025-11-15,Consumer,OK,4
44,Ava Johnson,customer0044@example.com,2023-08-26,Consumer,AZ,4
45,Owen Taylor,customer0045@example.com,2024-08-27,Consumer,MI,3
46,Ryan Thomas,customer0046@example.com,2023-12-22,Small Business,NM,4
47,Lucas Wilson,customer0047@example.com,2022-09-05,Small Business,MI,3
48,Ryan Lee,customer0048@example.com,2023-01-28,Consumer,MA,1
49,Owen White,customer0049@example.com,2025-05-07,Consumer,IL,3
50,Mason Wilson,customer0050@example.com,2024-01-10,Consumer,FL,2
51,Mia Martinez,customer0051@example.com,2022-04-04,Corporate,UT,5
52,Mia Thompson,customer0052@example.com,2022-07-30,Small Business,WI,3
53,Aiden Thompson,customer0053@example.com,2024-06-21,Consumer,IL,3
54,Aiden Garcia,customer0054@example.com,2022-05-14,Consumer,IL,3
55,Emma Brown,customer0055@example.com,2022-11-02,Small Business,OR,5
56,Ethan Garcia,customer0056@example.com,2025-02-16,Small Business,CT,1
57,Jack Wilson,customer0057@example.com,2024-12-06,Consumer,CO,5
58,Owen Jackson,customer0058@example.com,2023-09-18,Consumer,IL,3
59,Sophia Davis,customer0059@example.com,2025-07-05,Consumer,CA,5
60,Ethan Lee,customer0060@example.com,2025-02-04,Consumer,FL,2
61,Ella Lewis,customer0061@example.com,2024-08-20,Consumer,AZ,4
62,Mason Martin,customer0062@example.com,2022-05-26,Small Business,MI,3
63,Noah Jackson,customer0063@example.com,2022-08-24,Consumer,WA,5
64,Mia Johnson,customer0064@example.com,2022-05-03,Consumer,MI,3
65,Owen Anderson,customer0065@example.com,2024-06-18,Consumer,OR,5
66,Lucas White,customer0066@example.com,2025-01-10,Consumer,TX,4
67,Emma Jackson,customer0067@example.com,2023-10-23,Consumer,CA,5
68,Ethan Clark,customer0068@example.com,2025-04-17,Corporate,PA,1
69,Emma Lee,customer0069@example.com,2024-08-21,Consumer,CO,5
70,Liam Clark,customer0070@example.com,2024-06-11,Consumer,MN,3
71,Aiden Taylor,customer0071@example.com,2024-04-16,Consumer,NJ,1
72,Aria Jackson,customer0072@example.com,2025-11-21,Consumer,VA,2
73,Emma Martin,customer0073@example.com,2022-06-30,Consumer,OR,5
74,Leah White,customer0074@example.com,2022-01-03,Consumer,CT,1
75,Zoe Smith,customer0075@example.com,2023-01-20,Consumer,NV,4
76,Ella Smith,customer0076@example.com,2023-02-21,Consumer,AZ,4
77,Ella Thompson,customer0077@example.com,2022-09-06,Consumer,WI,3
78,Liam Anderson,customer0078@example.com,2025-02-02,Consumer,VA,2
79,Ethan Garcia,customer0079@example.com,2024-08-03,Corporate,NY,1
80,Mason White,customer0080@example.com,2025-12-15,Consumer,OK,4
81,Ethan Martin,customer0081@example.com,2025-02-02,Consumer,AZ,4
82,Leo Brown,customer0082@example.com,2022-05-23,Consumer,CO,5
83,Leo Martinez,customer0083@example.com,2022-01-06,Consumer,MI,3
84,Owen Thompson,customer0084@example.com,2022-11-01,Consumer,CO,5
85,Aria Harris,customer0085@example.com,2025-01-17,Consumer,MI,3
86,Ethan Clark,customer0086@example.com,2024-02-24,Consumer,VA,2
87,Aria Thompson,customer0087@example.com,2025-12-15,Corporate,MA,1
88,Mia Thompson,customer0088@example.com,2022-03-17,Consumer,NV,4
89,Sophia Martin,customer0089@example.com,2022-07-24,Consumer,MN,3
90,Mia Jackson,customer0090@example.com,2025-09-02,Corporate,NJ,1
91,Lucas Thomas,customer0091@example.com,2025-06-30,Small Business,TX,4
92,Ryan Moore,customer0092@example.com,2023-10-11,Consumer,MN,3
93,Emma Lewis,customer0093@example.com,2022-05-21,Consumer,OR,5
94,Olivia Jackson,customer0094@example.com,2022-07-21,Small Business,FL,2
95,Liam Anderson,customer0095@example.com,2022-03-01,Consumer,TX,4
96,Nora Taylor,customer0096@example.com,2024-06-01,Consumer,WI,3
97,Owen Lee,customer0097@example.com,2022-12-15,Consumer,NV,4
98,Jack Wilson,customer0098@example.com,2024-10-16,Corporate,AZ,4
99,Ella Martinez,customer0099@example.com,2024-07-30,Consumer,FL,2
100,Mason Harris,customer0100@example.com,2022-11-20,Consumer,NM,4
101,Mason Jackson,customer0101@example.com,2025-11-14,Consumer,OR,5
102,Leah Thompson,customer0102@example.com,2022-08-07,Consumer,TN,2
